ANALS_TRGET_YEAR,ANALS_TRGET_MT,LBRRY_NM,AREA_NM,LBRRY_CD,WKDAY_NM,LON_RATE
2021,1,글빛도서관,서울특별시,115,토,22.75
2021,1,동대문구정보화도서관,서울특별시,1200,일,12.225
2021,1,동대문구정보화도서관,서울특별시,1200,월,0
2021,1,동대문구정보화도서관,서울특별시,1200,화,19.308
2021,1,동대문구정보화도서관,서울특별시,1200,수,17.229
2021,1,동대문구정보화도서관,서울특별시,1200,목,20.901
2021,1,동대문구정보화도서관,서울특별시,1200,금,14.652
2021,1,동대문구정보화도서관,서울특별시,1200,토,15.685
2021,1,장안어린이도서관,서울특별시,1201,일,15.728
2021,1,장안어린이도서관,서울특별시,1201,월,4.326
2021,1,장안어린이도서관,서울특별시,1201,화,18.371
2021,1,장안어린이도서관,서울특별시,1201,수,17.864
2021,1,장안어린이도서관,서울특별시,1201,목,20.961
2021,1,장안어린이도서관,서울특별시,1201,금,0
2021,1,장안어린이도서관,서울특별시,1201,토,22.75
2021,1,용두어린이영어도서관,서울특별시,1202,일,21.654
2021,1,용두어린이영어도서관,서울특별시,1202,월,10.587
2021,1,용두어린이영어도서관,서울특별시,1202,화,22.293
2021,1,용두어린이영어도서관,서울특별시,1202,수,16.58
2021,1,용두어린이영어도서관,서울특별시,1202,목,19.377
2021,1,용두어린이영어도서관,서울특별시,1202,금,0
2021,1,용두어린이영어도서관,서울특별시,1202,토,9.509
2021,1,이문체육문화센터 어린이도서관,서울특별시,1203,일,0
2021,1,이문체육문화센터 어린이도서관,서울특별시,1203,월,11.036
2021,1,이문체육문화센터 어린이도서관,서울특별시,1203,화,16.987
2021,1,이문체육문화센터 어린이도서관,서울특별시,1203,수,22.745
2021,1,이문체육문화센터 어린이도서관,서울특별시,1203,목,15.739
2021,1,이문체육문화센터 어린이도서관,서울특별시,1203,금,21.401
2021,1,이문체육문화센터 어린이도서관,서울특별시,1203,토,12.092
2021,1,이문어린이도서관,서울특별시,1204,일,8.346
2021,1,이문어린이도서관,서울특별시,1204,월,0
2021,1,이문어린이도서관,서울특별시,1204,화,11.533
2021,1,이문어린이도서관,서울특별시,1204,수,25.797
2021,1,이문어린이도서관,서울특별시,1204,목,16.54
2021,1,이문어린이도서관,서울특별시,1204,금,10.47
2021,1,이문어린이도서관,서울특별시,1204,토,27.314
2021,1,동대문구답십리도서관,서울특별시,1205,일,13.486
2021,1,동대문구답십리도서관,서울특별시,1205,월,13.386
2021,1,동대문구답십리도서관,서울특별시,1205,화,15.002
2021,1,동대문구답십리도서관,서울특별시,1205,수,22.241
2021,1,동대문구답십리도서관,서울특별시,1205,목,20.342
2021,1,동대문구답십리도서관,서울특별시,1205,금,0
2021,1,동대문구답십리도서관,서울특별시,1205,토,15.544
2021,1,전곡마을 작은도서관,서울특별시,1206,일,12.338
2021,1,전곡마을 작은도서관,서울특별시,1206,월,7.792
2021,1,전곡마을 작은도서관,서울특별시,1206,화,1.299
2021,1,전곡마을 작은도서관,서울특별시,1206,수,5.195
2021,1,전곡마을 작은도서관,서울특별시,1206,목,21.429
2021,1,전곡마을 작은도서관,서울특별시,1206,금,19.481
2021,1,전곡마을 작은도서관,서울특별시,1206,토,32.468
2021,1,장안 가온누리 작은도서관,서울특별시,1207,일,9.129
2021,1,장안 가온누리 작은도서관,서울특별시,1207,월,7.884
2021,1,장안 가온누리 작은도서관,서울특별시,1207,화,6.639
2021,1,장안 가온누리 작은도서관,서울특별시,1207,수,19.087
2021,1,장안 가온누리 작은도서관,서울특별시,1207,목,34.855
2021,1,장안 가온누리 작은도서관,서울특별시,1207,금,14.108
2021,1,장안 가온누리 작은도서관,서울특별시,1207,토,8.299
2021,1,동대문구 장안 벚꽃길 작은도서관,서울특별시,1208,일,21.186
2021,1,동대문구 장안 벚꽃길 작은도서관,서울특별시,1208,월,7.91
2021,1,동대문구 장안 벚꽃길 작은도서관,서울특별시,1208,화,20.339
2021,1,동대문구 장안 벚꽃길 작은도서관,서울특별시,1208,수,9.322
2021,1,동대문구 장안 벚꽃길 작은도서관,서울특별시,1208,목,15.254
2021,1,동대문구 장안 벚꽃길 작은도서관,서울특별시,1208,금,16.949
2021,1,동대문구 장안 벚꽃길 작은도서관,서울특별시,1208,토,9.04
2021,1,휘경어린이도서관,서울특별시,1209,일,9.083
2021,1,휘경어린이도서관,서울특별시,1209,월,0
2021,1,휘경어린이도서관,서울특별시,1209,화,11.715
2021,1,휘경어린이도서관,서울특별시,1209,수,11.889
2021,1,휘경어린이도서관,서울특별시,1209,목,15.187
2021,1,휘경어린이도서관,서울특별시,1209,금,11.253
2021,1,휘경어린이도서관,서울특별시,1209,토,40.874
2021,1,답십리1동 아름드리 작은도서관,서울특별시,1212,일,100
2021,1,답십리1동 아름드리 작은도서관,서울특별시,1212,월,0
2021,1,답십리1동 아름드리 작은도서관,서울특별시,1212,화,0
2021,1,답십리1동 아름드리 작은도서관,서울특별시,1212,수,0
2021,1,답십리1동 아름드리 작은도서관,서울특별시,1212,목,0
2021,1,답십리1동 아름드리 작은도서관,서울특별시,1212,금,0
2021,1,답십리1동 아름드리 작은도서관,서울특별시,1212,토,0
2021,1,답십리2동 민들레 작은도서관,서울특별시,1213,일,0
2021,1,답십리2동 민들레 작은도서관,서울특별시,1213,월,0
2021,1,답십리2동 민들레 작은도서관,서울특별시,1213,화,0
2021,1,답십리2동 민들레 작은도서관,서울특별시,1213,수,0
2021,1,답십리2동 민들레 작은도서관,서울특별시,1213,목,0
2021,1,답십리2동 민들레 작은도서관,서울특별시,1213,금,0
2021,1,답십리2동 민들레 작은도서관,서울특별시,1213,토,0
2021,1,이문2동 작은도서관,서울특별시,1214,일,0
2021,1,이문2동 작은도서관,서울특별시,1214,월,0
2021,1,이문2동 작은도서관,서울특별시,1214,화,0
2021,1,이문2동 작은도서관,서울특별시,1214,수,0
2021,1,이문2동 작은도서관,서울특별시,1214,목,0
2021,1,이문2동 작은도서관,서울특별시,1214,금,0
2021,1,이문2동 작은도서관,서울특별시,1214,토,0
2021,1,장안2동 작은도서관,서울특별시,1215,일,0
2021,1,장안2동 작은도서관,서울특별시,1215,월,0
2021,1,장안2동 작은도서관,서울특별시,1215,화,0
2021,1,장안2동 작은도서관,서울특별시,1215,수,0
2021,1,장안2동 작은도서관,서울특별시,1215,목,0
2021,1,장안2동 작은도서관,서울특별시,1215,금,0
2021,1,장안2동 작은도서관,서울특별시,1215,토,0
2021,1,용신동 작은도서관,서울특별시,1216,일,0
2021,1,용신동 작은도서관,서울특별시,1216,월,0
2021,1,용신동 작은도서관,서울특별시,1216,화,0
2021,1,용신동 작은도서관,서울특별시,1216,수,0
2021,1,용신동 작은도서관,서울특별시,1216,목,0
2021,1,용신동 작은도서관,서울특별시,1216,금,0
2021,1,용신동 작은도서관,서울특별시,1216,토,0
2021,1,회기동 꿈자람 작은도서관,서울특별시,1217,일,0
2021,1,회기동 꿈자람 작은도서관,서울특별시,1217,월,0
2021,1,회기동 꿈자람 작은도서관,서울특별시,1217,화,100
2021,1,회기동 꿈자람 작은도서관,서울특별시,1217,수,0
2021,1,회기동 꿈자람 작은도서관,서울특별시,1217,목,0
2021,1,회기동 꿈자람 작은도서관,서울특별시,1217,금,0
2021,1,회기동 꿈자람 작은도서관,서울특별시,1217,토,0
2021,1,장안1동 작은도서관,서울특별시,1218,일,0
2021,1,장안1동 작은도서관,서울특별시,1218,월,0
2021,1,장안1동 작은도서관,서울특별시,1218,화,0
2021,1,장안1동 작은도서관,서울특별시,1218,수,0
2021,1,장안1동 작은도서관,서울특별시,1218,목,0
2021,1,장안1동 작은도서관,서울특별시,1218,금,0
2021,1,장안1동 작은도서관,서울특별시,1218,토,0
2021,1,제기동 미래뜰 작은도서관,서울특별시,1219,일,0
2021,1,제기동 미래뜰 작은도서관,서울특별시,1219,월,0
2021,1,제기동 미래뜰 작은도서관,서울특별시,1219,화,0
2021,1,제기동 미래뜰 작은도서관,서울특별시,1219,수,0
2021,1,제기동 미래뜰 작은도서관,서울특별시,1219,목,0
2021,1,제기동 미래뜰 작은도서관,서울특별시,1219,금,0
2021,1,제기동 미래뜰 작은도서관,서울특별시,1219,토,0
2021,1,휘경2동 꿈빛누리 작은도서관,서울특별시,1220,일,100
2021,1,휘경2동 꿈빛누리 작은도서관,서울특별시,1220,월,0
2021,1,휘경2동 꿈빛누리 작은도서관,서울특별시,1220,화,0
2021,1,휘경2동 꿈빛누리 작은도서관,서울특별시,1220,수,0
2021,1,휘경2동 꿈빛누리 작은도서관,서울특별시,1220,목,0
2021,1,휘경2동 꿈빛누리 작은도서관,서울특별시,1220,금,0
2021,1,휘경2동 꿈빛누리 작은도서관,서울특별시,1220,토,0
2021,1,이문1동 꿈꾸는 작은도서관,서울특별시,1221,일,100
2021,1,이문1동 꿈꾸는 작은도서관,서울특별시,1221,월,0
2021,1,이문1동 꿈꾸는 작은도서관,서울특별시,1221,화,0
2021,1,이문1동 꿈꾸는 작은도서관,서울특별시,1221,수,0
2021,1,이문1동 꿈꾸는 작은도서관,서울특별시,1221,목,0
2021,1,이문1동 꿈꾸는 작은도서관,서울특별시,1221,금,0
2021,1,이문1동 꿈꾸는 작은도서관,서울특별시,1221,토,0
2021,1,휘경1동 새싹마루 작은도서관,서울특별시,1222,일,0
2021,1,휘경1동 새싹마루 작은도서관,서울특별시,1222,월,0
