국가,GDP per capita,Average temeprature
 Slovakia," 19,256 ",6.8 
 Kazakhstan," 9,793 ",6.4 
 Austria," 49,701 ",6.4 
 Belarus," 6,674 ",6.2 
 Lithuania," 19,795 ",6.2 
 Georgia," 4,439 ",5.8 
" Korea, North", 640 ,5.7 
 Liechtenstein," 179,258 ",5.7 
 Latvia," 17,885 ",5.6 
  Switzerland," 85,135 ",5.5 
 Estonia," 23,740 ",5.1 
 Denmark," 60,657 ",2.7 
 Sweden," 52,896 ",2.1 
 Tajikistan, 894 ,2.0 
 Iceland," 71,345 ",1.8 
 Finland," 48,678 ",1.7 
 Kyrgyzstan," 1,318 ",1.6 
 Norway," 74,986 ",1.5 
